HELI_IDENT	SEQ_NBR	LENGTH	WIDTH	SURFACE	AC_TYPE	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	LGT_SYS_1	LGT_SYS_2	LGT_SYS_3	HIGH_IDENT	HIGH_HDG	HE_WGS_LAT	HE_WGS_DLAT	HE_WGS_LONG	HE_WGS_DLONG	HE_ELEV	HE_SLOPE	HLGT_SYS_1	HLGT_SYS_2	HLGT_SYS_3	LOW_IDENT	LOW_HDG	LE_WGS_LAT	LE_WGS_DLAT	LE_WGS_LONG	LE_WGS_DLONG	LE_ELEV	LE_SLOPE	LLGT_SYS_1	LLGT_SYS_2	LLGT_SYS_3	HIGH_TRUE	LOW_TRUE	CLD_RWY	PAD_ID	CYCLE_DATE
US00108	50	06000	01200	GRS									H1						U	U							31.358817		-85.755600									H1	200603
US00618	50	01600	00075	ASP									H1						U	U							31.358817		-85.755600									H1	200603
US00618	51	01600	00075	ASP									H2						U	U							31.358817		-85.755600									H2	200603
US00618	52	01600	00075	ASP									H3						U	U							31.358817		-85.755600									H3	200603
US00618	53	01600	00075	ASP									H4						U	U							31.358817		-85.755600									H4	200603
US00618	54	01600	00075	ASP									H5						U	U							31.358817		-85.755600									H5	200603
US00618	55	01600	00075	ASP									H6						U	U							31.358817		-85.755600									H6	200603
US00618	56	01600	00075	GRS									H7						U	U							31.358817		-85.755600									H7	200603
US00619	50	01600	00050	ASP									H1						U	U							31.358817		-85.755600									H1	200603
US00619	51	01600	00050	ASP									H2						U	U							31.358817		-85.755600									H2	200602
US00619	52	01600	00050	ASP									H3						U	U							31.358817		-85.755600									H3	200602
US00619	53	01600	00050	ASP									H4						U	U							31.358817		-85.755600									H4	200602
US00619	54	01600	00050	ASP									H5						U	U							31.358817		-85.755600									H5	200602
US00619	55	01600	00050	ASP									H6						U	U							31.358817		-85.755600									H6	200602
US00620	50	01600	00075	ASP									H1						U	U							31.358817		-85.755600									H1	200603
US00620	51	01482	00075	ASP									H2						U	U							31.358817		-85.755600									H2	200603
